Time,CPU Usage (%),Memory Usage (%)
1,0.0,42.2
2,11.8,42.2
3,12.4,42.3
4,14.3,42.4
5,13.0,42.4
6,12.1,42.3
7,20.5,42.4
8,13.6,42.3
9,11.4,42.1
10,11.4,42.2
11,17.1,42.3
12,16.7,42.4
13,13.0,42.4
14,14.7,42.3
15,10.5,42.3
16,14.2,42.4
17,20.5,42.4
18,19.1,42.3
19,14.8,42.2
20,10.0,42.1
21,9.6,42.1
22,16.9,42.4
23,17.3,42.4
24,34.8,43.8
25,76.9,45.6
26,76.9,47.4
27,81.8,49.2
28,81.6,51.1
29,33.2,51.6
30,17.4,51.8
31,39.3,52.0
32,46.3,52.4
33,96.5,52.5
34,97.1,52.6
35,96.9,52.6
36,96.5,52.5
37,96.2,52.6
38,95.2,52.5
39,95.9,52.5
40,96.1,52.5
41,97.0,52.6
42,96.6,52.6
43,97.0,52.6
44,97.1,52.7
45,93.5,51.9
46,89.0,52.0
47,85.9,52.1
48,86.1,52.1
49,93.2,52.1
50,64.6,51.8
51,11.6,51.7
52,34.1,51.8
53,30.1,51.7
54,28.8,51.8
55,26.7,51.9
56,76.6,51.7
57,78.2,51.7
58,79.6,51.7
59,21.9,51.7
60,38.4,51.7
61,36.9,51.7
62,46.7,51.7
63,51.8,51.7
64,22.9,51.8
65,16.1,52.1
66,28.7,52.2
67,23.2,52.2
68,11.1,52.0
69,12.4,51.9
70,10.1,51.9
71,39.9,51.8
72,34.1,51.8
73,18.0,51.9
74,17.3,51.8
75,15.1,51.8
76,17.2,51.8
77,14.5,51.8
78,13.7,51.8
79,14.4,51.7
80,28.4,52.1
81,25.5,52.0
82,19.5,52.0
83,11.7,52.0
84,13.4,51.9
85,10.8,51.9
86,14.6,51.8
87,13.9,51.8
88,14.6,51.9
89,21.5,51.9
90,13.3,52.0
91,10.2,51.8
92,30.7,52.1
93,13.3,52.1
94,12.4,51.8
95,13.0,51.8
96,11.2,51.8
97,16.1,52.0
98,20.4,52.1
99,15.2,52.0
100,9.5,51.7
101,12.5,51.9
102,8.9,51.9
103,10.2,51.8
104,9.3,51.8
105,9.3,51.8
106,12.4,52.0
107,18.5,52.1
108,9.6,52.0
109,15.1,51.9
110,9.4,51.8
111,12.4,52.0
112,13.8,52.0
113,12.5,51.9
114,11.5,51.8
115,13.1,51.9
116,12.6,51.9
117,11.4,51.9
118,14.6,51.9
119,16.6,51.9
120,26.5,52.0
121,23.7,52.0
122,11.2,52.0
123,10.7,51.9
124,10.9,51.7
125,12.0,51.9
126,13.2,51.9
127,11.6,52.0
128,8.6,51.8
129,36.9,52.1
130,16.9,52.1
131,15.2,52.2
132,18.7,52.1
133,15.4,52.1
134,10.9,52.0
135,12.6,52.0
136,20.2,52.1
137,10.3,52.0
138,11.6,51.9
139,10.6,51.9
140,11.2,51.9
141,10.0,51.9
142,10.7,52.0
143,10.4,51.9
144,10.4,51.8
145,8.1,51.8
146,10.3,51.9
147,8.4,51.9
148,7.8,51.8
149,10.7,51.8
150,10.2,51.8
151,10.1,51.8
152,9.4,51.7
153,10.0,51.8
154,11.7,51.8
155,8.5,51.8
156,9.0,51.8
157,8.6,51.8
158,8.4,51.8
159,8.5,51.8
160,10.8,52.0
161,12.1,52.3
162,9.5,52.0
163,8.7,51.9
164,8.3,51.9
165,11.6,51.8
166,10.4,51.8
167,7.8,51.8
168,9.6,51.8
169,9.4,51.7
170,8.7,51.7
171,9.5,52.1
172,9.2,52.1
173,8.9,52.1
174,9.0,51.8
175,10.0,51.9
176,8.2,51.9
177,10.3,52.0
178,11.5,51.9
179,11.2,51.9
180,9.1,51.9
181,7.9,51.8
182,7.8,51.8
183,15.7,51.8
184,9.7,51.5
185,9.1,51.7
186,9.2,51.7
187,11.4,51.6
188,10.1,51.7
189,10.8,51.7
